,sig_order,moraltext,immoraltext,guilt_nbe,guilt_repair,shame_nse,shame_withdraw,ousib,ousih
0,1,Being honest and supportive towards my partner,,0.16471055,0.12593506,0.09406828,0.08964188,0.17830317,0.051048502
1,2,,Aggressively cutting in front of someone on public transport,0.1326505,0.12997687,0.16255707,0.18402976,0.13132209,0.1378063
2,3,Supporting a friend who has had an argument with another friend,,0.10411991,0.25224495,0.15874556,0.12446872,0.2259733,0.13377747
3,4,,,,,,,,
10,11,Offering assistance for friend  and boss in Ill health,,-0.019923007,0.018613711,0.063844025,0.1531398,0.2839404,0.16953716
13,14,Comforted a crying coworker,,0.17056105,0.09500938,0.21364395,0.13587692,0.16626891,0.08260698
14,15,Partner getting me lemsip and soup as I feel ill,,-0.01386185,0.010468358,0.0071516074,0.07023314,0.12453125,0.007078708
21,22,A kid selling lemonade to pay for the sisters healthcare,,0.07641375,-0.028847367,0.041285567,0.042485,0.15662625,0.028632063
25,26,,Immigrant kids crying in cages USA,0.015432009,0.029641062,0.007187251,-0.023167912,0.07396856,0.11258136
26,27,,People fighting over public transportation,-0.050099432,0.051864423,0.02344706,0.035680465,0.055241752,0.061818462
29,30,Gave a friend a lift,,0.07874338,0.12147686,0.122023806,0.1299546,0.20183876,0.041126523
30,31,Letting people ahead in traffic,,0.05208017,0.11527616,0.048043996,0.10625201,0.13534215,0.11436191
32,33,Stranger pulled over to ask to assist a person who had fallen off her bike,,0.13214065,0.10779604,0.20563379,0.11168428,0.2368414,0.12720688
33,34,,Wont let cat out (safety at night),0.0018896125,-0.033300165,0.02892151,0.10874059,0.069359586,0.043625582
34,35,,Declined for a credit card,0.11609417,0.086481385,0.10927388,0.048649576,0.06849635,0.010853487
38,39,,Someone rudely addressing a waitress,0.15549318,0.11627845,0.16411209,0.1726611,0.07651638,-0.0029691365
39,40,Friend got me lunch,,0.04329872,0.13967894,0.084887624,0.14273909,0.032112457,0.009723029
40,41,,Someone picked an argument with me and questioned my intelligence,0.1416825,0.21063083,0.24131396,0.11717979,0.06897984,0.07965823
42,43,Colleague gave me a free pass to a fitness class,,0.14165905,0.1544599,0.22981699,0.21920405,0.18740198,0.093502045
43,44,,Video of black man in car yelled at by white woman using slurs,0.0654148,0.06959902,0.10339694,0.010877385,0.054471172,0.07341018
44,45,Arranged to present my research twice in one day,,0.03629764,0.12028703,0.095278986,0.061842818,0.09112394,0.02929116
45,46,My sibling did my laundry,,0.16544242,0.073055625,0.13845026,0.16965637,0.0591684,-0.013633126
47,48,Vegan meal as always,,-0.018424086,0.018377624,-0.05721638,0.018277995,0.13155866,0.05883824
50,51,,Accidentally mixed up two research participants,0.09618926,0.15000841,0.22084624,0.08381128,0.07528542,0.03925562
52,53,Extra effort to allow access rather than deny access to worksite,,-0.01544635,0.019479569,0.023556828,0.10840609,0.01937846,-0.0014411137
58,59,,A bus full of school kids hit a power line due to driver negligence,0.02861876,0.10110292,0.14999972,0.046507765,0.12138204,0.13803352
61,62,Decided to revisit my research rrsults,,0.0126071405,0.07645418,0.03671459,-0.009424144,0.06184428,0.041631117
64,65,Asked for a lift on Saturday,,-0.015881857,0.06015562,0.031497274,0.042352438,0.0795846,-0.023595206
69,70,,"Melania's ""don't care"" jacket",0.09595475,0.052930452,0.110008836,0.11665052,0.07624879,0.03320638
74,75,I pushed a man on a wheelchair up a ramp,,0.09886062,0.05680954,0.14492461,0.05675784,0.12024665,0.048264623
76,77,A celebrity donated Money to hungry kids,,0.0235629,0.018186864,0.040294662,0.026031958,0.19334643,0.02997482
80,81,,1,-0.029183175,-0.0036995355,-0.008115843,0.013260884,-0.02723984,-0.045751665
84,85,,Letting agent trying to squeeze more money out of me and my housemates,0.13119,0.042231213,0.13717845,0.23106962,0.11919393,0.026533272
86,87,Cleaned son's room,,0.031508327,-0.013322142,0.037505124,0.111293755,-0.000463032,-0.026566735
88,89,Someone filling my water bottle for me,,0.06975805,0.042728007,0.08012447,0.09708181,0.141542,0.011884072
89,90,Did chores for my mother,,0.050119758,0.02953599,0.057950277,0.14005592,0.0924261,-0.0012578652
91,92,,Youths left beers on chip shop counter,0.04851614,0.021831702,-0.021517798,0.09645996,-0.029490879,-0.032206
94,95,Didn't press person on shame moment,,0.1901089,0.14639488,0.21820474,0.058666315,0.11399208,0.119064055
97,98,,Bail enforcement practice,0.054407783,0.009303845,0.05155862,0.042042144,0.07388291,0.17156164
100,101,Helped clean up the gym after using it,,0.01751221,0.021272475,0.02201292,0.0254181,0.030219778,-0.032140523
103,104,Spent an hour teaching kids at a home for orphaned children,,-0.032492448,0.036756083,0.014367353,0.06278312,0.09728362,0.030348778
107,108,Sons shopped & gave lift while I at work,,0.088798985,0.0142932795,0.12015413,0.14860886,0.05790344,-0.055327777
112,113,Stranger helped me carry my bags up the stairs,,0.12943286,0.09002023,0.14308581,0.15551507,0.19762632,0.07671431
113,114,Shared poster campaign re UK beetle extinction,,-0.010659516,0.059392482,0.03616276,0.095663905,0.05117764,0.06446017
116,117,Helped mom prepare for party,,-0.0038154153,0.060681738,0.06129914,0.0780166,0.056304384,-0.001924295
118,119,,I wasted money on a dinner I didn鈥檛 need,0.1529066,0.12353629,0.15068418,0.17762423,0.14137688,-0.0014055688
120,121,Saw someone pick up dog poo from the jogging trail,,0.110600784,0.016886089,0.103790715,0.10307924,0.047155622,0.018824477
121,122,,Car pushing in traffic,0.032553833,0.043115076,0.034729257,0.014237178,-0.009805939,-0.018379666
124,125,An artist held an exhibition for prisoners,,0.047804467,-0.03150004,0.048435874,0.04818721,0.0212264,0.10244209
126,127,A friend helped me understand a concept that I was struggling with in economics,,0.08212926,0.124659315,0.092600465,0.10300091,0.18974,0.0709287
131,132,Wife let me sleep more by taking care of the baby.,,0.048793852,0.01725284,0.04615073,0.12416431,0.13515985,0.041017517
