participant_ID,corr_coeff,corr_coeff_z,OUS_IB,OUS_IH
12303am,0.23193961975646407,0.23623839139422984,4.0,4.0
35T28GA,-0.05249152225548554,-0.05253981312789102,6.2,6.0
62n26th,0.4665251389945444,0.505619540850008,3.0,4.0
63r79ch,0.14404389951139845,0.14505272727577545,2.2,5.0
AGU12IN,0.39274661803194644,0.4150434617236413,4.8,2.75
ALL21AL,0.8309026037996747,1.1910447462804667,3.0,3.75
ALU07TH,0.4066287723417499,0.4315654797435862,3.2,5.5
AMS19FU,0.2800560168056018,0.287742855610458,3.4,3.75
AND10WN,0.4397450843318449,0.4719147327126796,2.6,3.25
ASH04FF,0.5682388617414894,0.6449180049868143,3.6,2.75
BAL06BA,-0.24999999999999997,-0.2554128118829953,5.8,4.5
BAR02LE,0.9999999,8.40562139102231,4.8,2.0
BEC05ON,0.058688302728505434,0.058755822690141256,4.2,6.0
BEE23AN,0.9378889347205124,1.7202151618307315,3.8,5.5
BEN20FF,0.19876097060401035,0.201442230789569,5.0,2.75
BEN29ER,0.06299363443690127,0.06307715712564124,3.8,4.25
BER28MS,0.6751884589469299,0.8202179051395522,5.0,5.75
BIR05OD,0.5314090881833557,0.5921067158326375,4.6,5.0
BIT23LY,0.6349438373507464,0.7496562602397879,5.6,5.25
BIT28BE,0.03902055869479235,0.03904038109320528,5.2,2.75
BRI04LE,0.2825516934648448,0.2904529923152173,4.4,3.75
BRO08WE,0.5716749167515045,0.6500073540335267,5.2,2.5
BRO29HA,0.2688845695666643,0.27566107349774427,5.6,3.5
BUT07ON,0.3244089030186999,0.33656676052537254,5.4,2.75
BYA05EN,0.33287848601795356,0.3460619742707123,4.8,4.0
Bag20ki,0.3421700143992836,0.35654823972299077,5.4,3.75
Bar17ng,0.0564971460549633,0.05655737303949749,3.8,3.75
Bro28oy,0.9050971106611132,1.4997170558460011,3.2,3.0
CAR03ES,0.3898099452267045,0.41157590644023934,4.4,4.5
CHE06NG,0.3288102774793689,0.34149372486835683,4.2,4.75
CHU23OR,0.6694752910198895,0.8097916200642128,4.8,1.0
CLO05EZ,-0.119348701013155,-0.11992026599046005,2.8,4.25
COL19EY,0.4993416385855637,0.5484287140003848,2.4,2.25
COP24HU,0.519701641217247,0.575930907151153,2.8,1.25
CRO15AN,0.38602294748943033,0.40711809127776544,4.8,4.0
Cal02sa,0.2427679051357807,0.24771327393143905,4.2,3.75
Con09rd,0.31779021349761993,0.32918715833643675,3.2,3.0
DAV19LS,0.8183918171270463,1.1519281237314842,1.8,4.0
DIX19LO,0.4743587698547181,0.5156797669474479,2.6,2.5
DOM08EZ,0.33462253105256956,0.3480246402409002,4.6,1.25
DRE17LD,0.512962009082654,0.5667412368373779,4.4,4.5
EAG18VO,0.42597852519521745,0.45497336660941573,4.4,3.25
FAR06SH,-0.06076040981680818,-0.06083534819800761,3.0,4.0
FAW24JI,0.3948565203621066,0.4175406249193817,3.6,2.25
FER05LO,-0.4999999999999999,-0.5493061443340547,3.8,4.25
FLE16TA,0.6116852722512749,0.711609749329258,4.8,3.25
FOR24CH,0.56014481093371,0.6330441832367931,3.6,6.0
FOX29CH,0.2590917363682169,0.2651345394974662,4.2,4.0
FRU06ND,0.5000000000000001,0.549306144334055,5.2,4.0
GAT11KI,0.3820252933451988,0.4024288886347219,3.2,4.0
GET10NN,0.6710441119132351,0.8126401318731955,4.4,5.75
GLE27RT,0.2969034610402166,0.3061202711954619,6.4,5.25
GOL19ER,-0.3458572319330373,-0.3607304043743801,3.6,3.75
GRA9911,-0.9999999,-8.40562139102231,5.8,4.75
Gle10mc,0.4820512606799117,0.525653057794744,3.0,5.0
HAV12ER,0.3919864222074644,0.4141449365365284,5.0,5.0
HAW16ES,0.5027727385888378,0.5530099925601104,5.0,3.75
HOO16OZ,0.7492116408523504,0.9711555408373673,3.0,4.0
HOW10ER,0.47601125270393363,0.5178142097249391,4.0,4.5
HYD06NY,0.8640573919017427,1.309138993513312,4.8,2.75
Hal13ez,0.16434678512070536,0.1658508984971417,4.4,3.75
ILL76EN,-0.3433740552016063,-0.35791258085767463,5.4,5.75
IND02SA,0.9096853437825616,1.5256970064502404,5.2,3.75
IND19RS,0.3589558949734807,0.3756868492237229,6.8,6.75
ING30NS,0.5708554683485839,0.6487909342200886,5.6,5.25
INN02RY,0.5283326020092501,0.5878292727965203,4.2,5.5
INN29TH,0.3455807572324712,0.36041639927108393,5.4,2.75
IVE09RO,0.5606359613152694,0.6337601849713926,4.8,4.0
KAT22WA,0.42233647432031485,0.45053231959397655,4.4,6.5
KEN16AD,0.8893704989336695,1.418906096560443,5.2,2.75
KUT23NA,0.4667600280093366,0.5059198164772274,5.6,5.25
Ken21Lo,0.04029114820126903,0.04031297203156663,4.8,2.25
Kir21es,0.318686501083511,0.3301844470877572,5.6,6.5
LAK05ER,0.4167416926241743,0.44374238864845433,3.6,2.0
LAM11UI,0.6322913502634105,0.7452245655548647,6.4,5.75
LAP15NT,0.5542634313251573,0.6245144552339654,5.4,4.25
LAW14SE,0.4950691494686615,0.5427531241607881,4.8,3.5
LAW27VI,0.348512037138275,0.3637490742499209,2.4,3.75
LIN27ST,0.6247779414241894,0.7328042135388207,4.6,5.0
Lil20oe,0.6948044349998623,0.8571849338632284,3.8,3.75
MAE27ES,0.7142314092954023,0.8957688707048623,4.4,5.0
MOU,-0.9525793444156802,-1.8589243063158927,5.2,4.0
Mai15er,0.8660254037844386,1.3169578969248166,3.2,3.25
Mer12Ra,0.08058229640253804,0.08075739968608056,3.4,1.5
NOR03IS,0.8290305980795522,1.1850283866503923,5.8,4.25
NOR08IA,0.4000915053039087,0.4237578698265689,3.4,4.75
ORC25NG,0.9999999,8.40562139102231,5.2,4.25
OVE19SS,0.9607689228305226,1.9558113826072918,4.8,3.5
OWE02VA,0.30714755841697555,0.31739277815091504,1.4,1.0
PAR23UO,0.45601207108556385,0.4922647310943893,3.4,5.0
PET05NT,0.7876156385192554,1.0651201531882755,4.4,3.0
PIE28LD,-0.45817529234077536,-0.49499930087936733,2.4,4.75
PIT10IS,0.10843780470736931,0.10886586011303269,2.4,4.0
PLE24ON,0.3283588685191072,0.34098767925256823,6.0,2.0
PLY29ER,0.6345332666679689,0.7489686602975232,5.6,3.25
POC01AL,0.6232343896853098,0.7302763519218393,3.0,5.25
PRI11TH,0.7597195758653734,0.995551534147099,5.2,3.25
PRO05EY,0.34218079937278184,0.35656045489817084,6.0,6.25
Pea94ns,0.3487556359366155,0.3640263780999036,5.6,3.25
QUI24IG,0.7071067811865475,0.8813735870195429,3.2,4.5
REE03EN,0.3370561268553844,0.35076761260315736,3.2,5.0
RID09IA,0.1912144591108397,0.19359741463081295,5.0,1.75
RIV08CK,0.6802106785137815,0.8295060298974375,6.6,6.5
ROA09AN,0.338240712601273,0.35210462683972116,5.0,4.5
ROM03GO,0.6387062101435161,0.7559854317728498,6.0,4.0
SAN28LE,0.684856936673496,0.8382046150590526,3.2,4.25
SAT17SI,-0.9999999,-8.40562139102231,4.8,5.0
SEA25ES,0.6076220416134895,0.7051429092687265,4.2,4.75
SKI30WI,0.3486925972940409,0.36395461210115027,4.6,3.25
SOU05RY,0.36143577839279567,0.3785364444209267,2.4,4.5
SOU09CK,-0.0943788444574014,-0.09466057399032143,3.0,4.0
SPR11AN,0.5710862184883421,0.6491332973978244,5.6,2.0
STR15ND,0.7975509595985065,1.0918461184591193,3.2,4.5
SUM09LO,0.511694230879627,0.565022261165856,3.2,5.0
SVI31VA,0.22637602071075044,0.23036641705529165,3.4,4.25
SVO07NA,0.6001091447849694,0.6933177367399738,3.4,4.0
TAN24ER,0.6164362553314123,0.7192366687325429,2.8,5.25
TAN91FU,0.26850482104007367,0.27525177489959407,2.4,1.75
TER06AW,0.10035926867294696,0.1006982585663976,6.4,4.25
TER12MO,0.4447104539091465,0.47808726008828883,1.0,1.5
THO20GI,0.5919495862558428,0.6806619845544518,3.2,4.25
TOY12VA,0.49999999999999994,0.5493061443340548,7.0,7.0
VAL30EZ,-0.32258064516129026,-0.33452481449044236,2.6,1.5
VER10HY,-0.2913971185543096,-0.3000923450585064,3.6,2.75
WAL11RY,0.3730359414596105,0.3919451833284974,5.6,3.5
WEB02NU,0.17932649083381397,0.18128671412695926,4.4,5.0
WES21ER,-0.24791045647772245,-0.25318520302205344,3.2,2.75
WES94ER,0.11577193684678745,0.1162933725184723,4.0,2.25
WIN05RG,0.6237438610897181,0.7311098276539465,4.8,1.75
WIN20LS,0.27454527401421164,0.28177303982426427,5.6,5.5
WOO08GS,0.6596560261461111,0.7922044263547151,3.2,4.0
YJZ20YC,0.46148630253702555,0.4991981398554025,2.2,3.5
YOS12CK,0.5638104297897634,0.6384018811354605,7.0,6.5
Yog19gi,0.563483246409294,0.6379223526030565,5.0,5.25
ZWOP888,-0.9707253433941508,-2.10471738455587,4.0,5.0
cou01ta,0.875401001685246,1.355738607994981,5.6,2.75
elb22an,-0.002890464326798813,-0.0028904723765742256,4.6,5.25
kno18ee,0.7664191894673176,1.011590809369313,1.8,2.75
lon20es,0.6261773240554969,0.7351028915284443,3.8,5.0
los96yu,-0.7559289460184545,-0.9866469610448342,4.0,5.0
oce10ta,0.4880078060665833,0.5334420413461392,4.4,5.75
ron03bs,0.43030252705354355,0.46026789377215777,5.8,4.75
wea07on,0.3851446140056847,0.40608636609209803,4.6,4.5
