participant_ID,corr_coeff,corr_coeff_z,OUS_IB,OUS_IH
12,0.20778573145475315,0.21085604591060275,,
12303am,,,4.0,4.0
20903IN,,,2.0,2.75
35T28GA,-0.014395320553948612,-0.01439631503558592,6.2,6.0
62n26th,0.6803858983633305,0.8298322058699645,3.0,4.0
63r79ch,0.46551698977577355,0.5043317047903759,2.2,5.0
77t02vo,,,4.0,3.25
AGU12IN,-0.9999999,-8.40562139102231,4.8,2.75
ALL21AL,0.9999999,8.40562139102231,3.0,3.75
ALU07TH,0.6115766297251507,0.7114361733410283,3.2,5.5
AND10WN,0.47117894733864435,0.5115846317213246,2.6,3.25
ASH04FF,0.6909915397714465,0.8498508449453532,3.6,2.75
BAR02LE,,,4.8,2.0
BAR17ng,0.9862413826124555,2.4861670162100413,,
BEC05ON,,,4.2,6.0
BEE23AN,,,3.8,5.5
BEN20FF,,,5.0,2.75
BER28MS,,,5.0,5.75
BIR05OD,0.5991362757106622,0.6917987024585485,4.6,5.0
BIT23LY,0.5773502691896257,0.6584789484624083,5.6,5.25
BIT23ly,,,,
BIT28BE,-0.15229756350478216,-0.15349171785130586,5.2,2.75
BRI04LE,-0.43464569084980853,-0.4656102809656921,4.4,3.75
BRO13ON,,,,
BRO29HA,,,5.6,3.5
BUT07ON,0.7645643819554806,1.00711081891706,5.4,2.75
Bag20ki,0.6037950496962011,0.6990981885578773,5.4,3.75
Bar17ng,,,3.8,3.75
Bit23ly,,,,
Bro13on,0.9999999,8.40562139102231,,
Bro28oy,0.9999999,8.40562139102231,3.2,3.0
CAR03ES,0.7276877967435825,0.923795022849926,4.4,4.5
CHE06NG,0.060051447784757815,0.06012378974699539,4.2,4.75
CHU23OR,0.9401940496955079,1.7397190566226686,4.8,1.0
COL19EY,0.8320502943378438,1.1947632172871097,2.4,2.25
COP24HU,0.6814938090710968,0.8318979683967331,2.8,1.25
CRO15AN,0.3616821166278091,0.37881982793153507,4.8,4.0
Cal02sa,,,4.2,3.75
Con09rd,0.6153846153846153,0.7175422626446611,3.2,3.0
DAV19LS,0.9819805060619655,2.3501988554586113,1.8,4.0
DRE17LD,,,4.4,4.5
Dav19ls,0.9919223380231336,2.75387648954327,,
EAG18VO,0.9999999,8.40562139102231,4.4,3.25
FAR06SH,-0.9999999,-8.40562139102231,3.0,4.0
FAW24JI,,,3.6,2.25
FAY14CA,,,3.8,3.5
FER05LO,,,3.8,4.25
FLE16TA,,,4.8,3.25
FOR24CH,0.9285714285714286,1.6479184330021648,3.6,6.0
FOX29CH,,,4.2,4.0
FRU06ND,,,5.2,4.0
Fer05lo,0.7986840927471449,1.0949676324020412,,
GAT11KI,0.6367633409486493,0.7527107115101499,3.2,4.0
GLE27RT,,,6.4,5.25
GOL19ER,,,3.6,3.75
GRA9911,,,5.8,4.75
Gas09rs,,,5.0,2.0
Gle10mc,,,3.0,5.0
HAV12ER,0.8878477434983878,1.4116676589836785,5.0,5.0
HAW16ES,0.9999999,8.40562139102231,5.0,3.75
HOO16OZ,0.8023255813953488,1.1051058864315153,3.0,4.0
HOW10ER,,,4.0,4.5
HYD06NY,0.9230904672989105,1.609529479113836,4.8,2.75
IM,,,,
IND02SA,,,5.2,3.75
IND19RS,0.7236673204696114,0.9153019812834039,6.8,6.75
ING30NS,0.586436603442349,0.6722174152773186,5.6,5.25
INN02RY,,,4.2,5.5
INN29TH,0.39221615963867257,0.414416411452453,5.4,2.75
KAT22WA,0.559737294489498,0.6324505391858786,4.4,6.5
KEN16AD,0.8995558845029351,1.469886942350732,5.2,2.75
KUT23NA,,,5.6,5.25
Ken21Lo,-0.9733285267845754,-2.1519412140570013,4.8,2.25
Kir21es,,,5.6,6.5
LAK05ER,0.4632608249143365,0.5014551984808643,3.6,2.0
LAM11UI,0.7622749961587049,1.001623152599484,6.4,5.75
LAP15NT,0.8842586304196853,1.394965796841069,5.4,4.25
LAW27VI,0.4684996561634395,0.5081463358990915,2.4,3.75
Lil20oe,0.9931270663228415,2.8349345160810064,3.8,3.75
Lon11se,-0.9999999,-8.40562139102231,,
MAE27ES,0.9966158955401239,3.1900598320748217,4.4,5.0
MOU,,,5.2,4.0
MUL13ON,,,3.4,2.5
Mer12Ra,,,3.4,1.5
NOR03IS,0.9349032156332334,1.6959687168727884,5.8,4.25
NOR08IA,,,3.4,4.75
OAK15KAC,-0.8666666666666667,-1.3195286648076294,,
OLE03TA,0.9999999,8.40562139102231,,
ORC25NG,,,5.2,4.25
OVE19SS,0.9999999,8.40562139102231,4.8,3.5
OWE02VA,,,1.4,1.0
Old16rs,,,5.4,3.5
PAR23UO,0.9999999,8.40562139102231,3.4,5.0
PET05NT,0.9683296637314884,2.0647800486300842,4.4,3.0
PIE28LD,,,2.4,4.75
PIT10IS,0.9999999,8.40562139102231,2.4,4.0
PLE24ON,0.8660254037844385,1.3169578969248161,6.0,2.0
PLY29ER,0.9506379169626019,1.838364577668824,5.6,3.25
