subID_noempty_EMA,group,hyper,beta_self,k_self,eps_self,BIC_self,pseudoR2_self,beta_other,k_other,eps_other,BIC_other,psedoR2_other,exclude_extreme_kappa,betaO_1eps,betaS_1eps,ko_1eps,ks_1eps,hyper_1eps,eps_1eps,OUS_IB,OUS_IH,sd,manipulation,callous,life_style,Gender,Country,GrewUp,YearBorn,age,Student,Race,Education,Politics,PolConvict,Religious,Income,MoneyGround,SES,MonthsEA,InvolvedEA,LearnEA,EmployedEA,HigherJob,EAArea,EAOften,EA_talk,EA_Persuade,EA_ID_1,EA_Fulfil_1,EA_SocialB_1,EA_identity,EA_Familiarity,EA_Agreement,EA_Future,EA_familiarity,OUS_1,OUS_2,OUS_3,OUS_4,OUS_5,OUS_6,OUS_7,OUS_8,OUS_9,OUS_IB.1,OUS_IH.1,OUS_overall,sd.1,manipulation.1,callous.1,life_style.1,QCAE_QCAE_1,QCAE_QCAE_2,QCAE_QCAE_3,QCAE_QCAE_4,QCAE_QCAE_5,QCAE_QCAE_6,QCAE_QCAE_7,QCAE_QCAE_8,QCAE_QCAE_9,QCAE_QCAE_10,QCAE_QCAE_11,QCAE_QCAE_12,QCAE_QCAE_13,QCAE_QCAE_14,QCAE_QCAE_15,QCAE_QCAE_16,QCAE_QCAE_17,QCAE_QCAE_18,QCAE_QCAE_19,QCAE_QCAE_20,QCAE_QCAE_21,QCAE_QCAE_22,QCAE_QCAE_23,QCAE_QCAE_24,QCAE_QCAE_25,QCAE_QCAE_26,QCAE_QCAE_27,QCAE_QCAE_28,QCAE_QCAE_29,QCAE_QCAE_30,QCAE_QCAE_31,TrolleyWrong_1,SoldierWrong_1,CruiseWrong_1,TSC_1,TSC_2,TSC_3,TSC_4,TSC_5,TSC_6,TSC_7,TSC_8,TSC_9,TSC_10,TSC_11,TSC_12,TSC_13,restrain,impulsive,unidimension,MConvict1,MConvict2,MConvict3,MConvict4,MConvict5,moral_importance,moral_self,RIP,participant_ID,group.1,neutral,do_moral,target_moral,witness_moral,learn_moral,do_immoral,target_immoral,witness_immoral,learn_immoral
12303am,EA,0.04794967699673103,100.0,0.895670734331002,0.0285370800570895,16.1925469958269,0.812823696909271,2.55336111591157,0.943620411327733,0.0,11.0394274603941,0.959514562732328,0,2.555865741,1.29087933,0.94355829,0.92113677,0.02242152,1.52138e-13,4.0,4.0,5.4,3.4285714285714284,2.1875,2.142857142857143,2,185,2,45,54,2.0,4,5,1,7,2,1,3,6,18.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,0.0,5.0,5.0,4.0,4.666666667,3.0,4.0,4.0,3.666666667,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,5.4,3.428571429,2.1875,2.142857143,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4.0,4,2,2,4,7,6,6,6,2,2,2,1,1,4.5,3.0,3.153846154,5,5,5,5,5,5.0,5.0,MLRP_9ojwCYx2IAcasuh,12303am,EA,31,3,0,1,0,0,0,0,0
AGU12IN,EA,0.39987397866276203,1.42339723246212,0.379278820370845,0.0,24.5770516307273,0.640019650379538,5.02438753031215,0.779152799033607,0.0,11.972693167201,0.949897292682028,0,5.026102508,1.423425359,0.779108146,0.379270466,0.399837681,1.65643e-13,4.8,2.75,4.1,1.4285714285714286,2.0625,4.0,2,185,1,75,24,2.0,7,4,2,5,2,10,3,1,24.0,2.0,2.0,2.0,1.0,2.0,7.0,4.0,1.0,5.0,3.0,2.0,3.333333333,4.0,4.0,4.0,4.0,4,5,4,5,6,3,2,3,3,4.8,2.75,3.888888889,4.1,1.428571429,2.0625,4.0,1,1,3,3,3,3,2,3,2,3,4,2,3,3,4,3,2,3,2,4,1,3,3,3,2,3,1,3,1,2,1,5,5,5.0,5,6,4,4,5,5,5,3,3,5,4,5,6,3.25,4.25,4.461538462,4,3,2,3,3,3.0,3.0,MLRP_bJJrJ3v5m9rqSgZ,AGU12IN,EA,32,0,0,1,0,1,0,1,0
AMS19FU,EA,-0.279179702483216,0.805660780764339,0.558642132130591,0.0,30.0014553508041,0.528223073997617,0.710642619641846,0.279462429647375,0.0,30.7683409239872,0.756208808331948,0,0.710617035,0.805643112,0.279449008,0.55863932,-0.279190312,3.47723e-09,3.4,3.75,2.4,4.428571428571429,2.375,5.142857142857143,1,185,1,78,21,1.0,4,3,2,7,3,1,1,5,1.0,2.0,2.0,2.0,2.0,1.0,7.0,6.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.333333333,2,2,7,3,3,2,6,5,2,3.4,3.75,3.555555556,2.4,4.428571429,2.375,5.142857143,1,2,3,3,2,3,4,1,3,3,4,3,2,2,4,4,2,4,3,3,4,4,3,3,3,3,3,2,1,2,2,1,1,2.0,7,6,2,6,3,7,1,1,7,6,5,7,7,4.25,5.5,4.384615385,2,4,4,4,4,3.333333333,4.0,MLRP_3wSSs5YzEoGzvSt,AMS19FU,EA,14,0,0,0,0,0,0,0,0
ASH04FF,EA,0.0,24.7863196029843,1.0,0.0,7.11069612311641,0.999999999997165,24.6584105752498,1.0,0.0,7.11069612313518,0.999999999998389,0,47.50490066,66.12223058,0.980436124,0.971912556,0.008523568,7.31392e-14,3.6,2.75,4.4,3.2857142857142856,2.0625,2.2857142857142856,3,185,1,71,28,2.0,1,4,10,7,1,4,3,8,24.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,3.666666667,5.0,4.0,4.0,4.333333333,1,5,3,4,5,2,1,2,6,3.6,2.75,3.222222222,4.4,3.285714286,2.0625,2.285714286,1,1,4,4,4,4,4,4,4,4,4,3,4,3,4,4,1,4,4,4,4,4,4,4,4,4,4,3,1,4,4,1,2,2.0,5,2,4,5,5,6,5,3,2,4,5,2,1,4.25,3.5,3.307692308,5,5,5,5,5,5.0,5.0,MLRP_9tNVBPIOplA4rPL,ASH04FF,EA,11,12,1,5,1,2,2,1,1
bag20ki,EA,0.029985564172661072,0.785804274421538,0.527002743754359,0.0,33.6789873445337,0.452429400139557,0.767744655287156,0.55698830792702,0.0,33.6068533375927,0.726958038456159,0,0.767821987,0.78582031,0.556964377,0.526963996,0.030000381,8.81018e-12,5.4,3.75,4.7,3.0,2.9375,4.0,1,49,1,79,20,1.0,1,3,2,2,1,1,6,2,21.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,0.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5,7,7,2,6,4,2,4,5,5.4,3.75,4.666666667,4.7,3.0,2.9375,4.0,1,1,2,3,4,4,2,1,3,4,4,4,2,1,4,4,1,3,3,3,2,3,3,3,2,2,3,4,1,3,4,1,4,1.0,3,4,4,3,6,7,5,4,5,6,6,5,5,3.5,5.5,4.230769231,1,1,1,4,4,1.0,4.0,MLRP_3faNAFFFceH1JLT,Bag20ki,EA,15,3,2,0,1,2,1,0,0
BAL06BA,EA,0.361550126421162,1.51445634543288,0.412721618170912,0.0,22.3545755664604,0.685824724613999,1.84120969276876,0.774271744592074,0.0,17.7834326394121,0.890017828250194,0,1.841135194,1.51478864,0.774221834,0.412709404,0.36151243,1.72694e-13,5.8,4.5,3.4,4.0,3.375,4.0,1,184,1,76,23,2.0,4,4,2,6,7,6,6,1,30.0,2.0,2.0,2.0,2.0,1.0,6.0,5.0,4.0,7.0,7.0,3.0,5.666666667,5.0,5.0,5.0,5.0,6,5,7,5,6,5,3,5,5,5.8,4.5,5.222222222,3.4,4.0,3.375,4.0,2,2,3,4,3,2,3,1,2,3,2,3,3,1,3,2,4,2,2,3,3,3,4,3,2,2,1,3,2,3,1,2,3,5.0,6,2,5,5,4,5,3,1,7,6,5,4,3,4.5,5.0,4.153846154,4,3,3,3,3,3.333333333,3.0,MLRP_3fIcdcz8xdh4FXT,BAL06BA,EA,5,0,0,0,0,0,0,0,0
BAR02LE,EA,0.03390993736359893,75.3378413737165,0.528786310242759,0.114236264410363,31.987499713044,0.48729084039206,2.45468894554773,0.562696247606358,0.0,15.8146871960772,0.910305680306422,0,70.4934111,68.66180391,0.617571107,0.530186307,0.0873848,0.071378586,4.8,2.0,3.8,2.857142857142857,2.6875,3.857142857142857,2,185,1,77,22,2.0,1,4,2,5,3,2,2,6,2.0,1.0,2.0,2.0,2.0,1.0,7.0,3.0,3.0,5.0,7.0,5.0,5.666666667,4.0,4.0,4.0,4.0,6,3,6,6,3,1,3,1,3,4.8,2.0,3.555555556,3.8,2.857142857,2.6875,3.857142857,1,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,3,2,3,2,3,4,5.0,5,2,5,6,5,5,6,6,5,6,6,5,5,4.75,5.25,4.230769231,5,3,4,3,3,4.0,3.0,MLRP_3jwpTuUo1jyxka1,BAR02LE,EA,1,0,1,0,0,0,0,0,0
bar17ng,EA,0.290569175711766,100.0,0.445000668327695,0.171422113288225,39.1924256576871,0.338797827101933,100.0,0.735569844039461,0.0285540468782571,16.1925713188165,0.906411597807089,0,76.67618679,0.458163862,0.735712578,0.411216118,0.32449646,0.02759642,3.8,3.75,4.9,3.142857142857143,2.0,3.2857142857142856,2,185,1,76,23,2.0,4,4,3,4,5,6,5,3,24.0,1.0,7.0,2.0,2.0,1.0,7.0,4.0,3.0,5.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,5,4,2,5,3,2,7,4,2,3.8,3.75,3.777777778,4.9,3.142857143,2.0,3.285714286,1,2,3,4,4,3,3,3,2,3,4,2,3,3,3,2,1,3,3,4,4,3,4,3,2,3,3,4,1,3,3,2,5,6.0,5,3,1,5,4,3,5,4,2,2,6,1,2,4.25,3.25,3.0,4,3,4,3,2,3.666666667,2.5,MLRP_e5JDw2pd3V0czL7,Bar17ng,EA,30,0,1,1,0,3,0,1,1
BEE23AH,EA,0.018983588862490963,1.25877763332559,0.539570521495903,0.0,25.1209101361884,0.628810765111337,86.5308832886204,0.558554110358394,0.0571026653799297,22.442974014582,0.842001419430376,0,1.488937848,1.258942915,0.530036104,0.539557396,-0.009521292,2.51863e-13,3.8,5.5,3.1,3.857142857142857,2.6875,2.4285714285714284,1,185,1,81,18,1.0,1,3,3,2,6,5,3,2,15.0,1.0,6.0,1.0,2.0,1.0,3.0,3.0,5.0,7.0,7.0,5.0,6.333333333,5.0,5.0,5.0,5.0,6,3,2,2,6,5,4,7,6,3.8,5.5,4.555555556,3.1,3.857142857,2.6875,2.428571429,1,3,4,4,3,3,4,1,2,3,2,2,2,1,2,2,3,3,3,4,4,2,3,3,2,4,3,4,4,4,3,1,3,5.0,2,2,3,4,5,6,6,3,5,2,6,2,2,3.25,4.5,3.538461538,5,5,4,5,5,4.666666667,5.0,MLRP_0GK1q996uHGFFHL,BEE23AN,EA,1,0,0,2,1,1,0,0,0
BER28MS,EA,0.20912214720474903,100.0,0.435827634077444,0.057126180815013,22.4435957473804,0.683990024991823,100.0,0.644949781282193,0.114263803729397,31.9877083441224,0.743643270260157,0,2.085635503,79.56056426,0.632369535,0.435612386,0.196757149,0.068004282,5.0,5.75,3.1,3.4285714285714284,3.1875,3.4285714285714284,1,185,1,78,21,1.0,1,3,2,3,1,4,1,5,50.0,2.0,6.0,2.0,2.0,2.0,7.0,5.0,0.0,6.0,5.0,2.0,4.333333333,4.0,5.0,5.0,4.666666667,5,3,6,5,6,5,6,6,6,5.0,5.75,5.333333333,3.1,3.428571429,3.1875,3.428571429,3,2,3,3,3,3,2,3,3,3,3,2,3,3,1,2,3,3,3,2,2,1,2,3,1,2,3,3,2,3,3,2,2,4.0,7,3,3,5,3,6,4,2,6,3,6,5,5,4.5,5.0,3.692307692,2,4,2,3,4,2.666666667,3.5,MLRP_7ZCnft4ixVaCLe5,BER28MS,EA,13,10,1,1,0,2,0,0,0
